Date | Temperature | Humidity | Light | Bus Voltage | Shunt Voltage | Bus Current | Bus Power
2023/01/29 23:14:31 | 3.1450 (0) | 26.1660 dC | 57.3719 rH | 26.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:32 | 3.1450 (0) | 26.5083 dC | 57.7443 rH | 26.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:33 | 3.1450 (0) | 26.8084 dC | 57.7461 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:34 | 3.1450 (0) | 27.0294 dC | 57.6244 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:36 | 3.1450 (0) | 27.1820 dC | 57.6301 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:37 | 3.1450 (0) | 27.3169 dC | 57.5712 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:38 | 3.1450 (0) | 27.4342 dC | 57.5343 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:39 | 3.1450 (0) | 27.4954 dC | 57.8269 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:40 | 3.1450 (0) | 27.4200 dC | 57.4439 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:41 | 3.1450 (0) | 27.3283 dC | 57.1135 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:43 | 3.1450 (0) | 27.2242 dC | 56.9602 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:44 | 3.1450 (0) | 27.1116 dC | 56.8253 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:45 | 3.1450 (0) | 27.0096 dC | 56.7357 rH | 25.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:46 | 3.1450 (0) | 26.9402 dC | 56.6689 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:47 | 3.1450 (0) | 26.8534 dC | 56.6065 rH | 25.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:48 | 3.1450 (0) | 26.7950 dC | 56.5323 rH | 25.0000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:50 | 3.1450 (0) | 26.7361 dC | 56.5280 rH | 23.3333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:51 | 3.1450 (0) | 26.6611 dC | 56.5003 rH | 23.3333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:52 | 3.1450 (0) | 26.6214 dC | 56.4683 rH | 29.1667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:53 | 3.1450 (0) | 26.5669 dC | 56.4425 rH | 25.8333 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:54 | 3.1450 (0) | 26.5276 dC | 56.4288 rH | 17.5000 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:55 | 3.1450 (0) | 26.5047 dC | 56.4370 rH | 16.6667 lx | 0.0000 V | -0.0050 mV | -0.0610 mA | 0.0000 mW
2023/01/29 23:14:57 | 3.1450 (0) | 26.4776 dC | 56.4311 rH | 19.1667 lx | 2.0650 V | 0.2120 mV | 2.1360 mA | 31.2800 mW
2023/01/29 23:14:58 | 3.1450 (0) | 26.4503 dC | 56.4192 rH | 18.3333 lx | 14.5110 V | 1.5470 mV | 15.4720 mA | 225.0700 mW
2023/01/29 23:14:59 | 3.1450 (0) | 26.4297 dC | 56.3925 rH | 27.5000 lx | 14.5110 V | 1.5470 mV | 15.4720 mA | 225.0700 mW
2023/01/29 23:15:00 | 3.1450 (0) | 26.4124 dC | 56.4167 rH | 27.5000 lx | 14.5110 V | 1.5500 mV | 15.5030 mA | 225.0700 mW
2023/01/29 23:15:01 | 3.1450 (0) | 26.4009 dC | 56.4119 rH | 27.5000 lx | 14.5110 V | 1.5500 mV | 15.5030 mA | 225.0700 mW
2023/01/29 23:15:02 | 3.1450 (0) | 26.3712 dC | 56.3932 rH | 27.5000 lx | 14.5110 V | 1.5520 mV | 15.5330 mA | 225.0700 mW
2023/01/29 23:15:03 | 3.1450 (0) | 26.3571 dC | 56.3838 rH | 27.5000 lx | 14.5110 V | 1.5520 mV | 15.5330 mA | 225.0700 mW
2023/01/29 23:15:05 | 3.1450 (0) | 26.3414 dC | 56.4224 rH | 27.5000 lx | 14.5110 V | 1.5550 mV | 15.5330 mA | 225.0700 mW
2023/01/29 23:15:06 | 3.1450 (0) | 26.3424 dC | 56.4120 rH | 27.5000 lx | 14.5110 V | 1.5550 mV | 15.5330 mA | 225.0700 mW
2023/01/29 23:15:07 | 3.1450 (0) | 26.3210 dC | 56.3966 rH | 27.5000 lx | 14.5120 V | 1.5570 mV | 15.5640 mA | 226.5960 mW
2023/01/29 23:15:08 | 3.1450 (0) | 26.3083 dC | 56.3972 rH | 27.5000 lx | 14.5120 V | 1.5570 mV | 15.5640 mA | 226.5960 mW
2023/01/29 23:15:09 | 3.1450 (0) | 26.3121 dC | 56.3973 rH | 27.5000 lx | 14.5120 V | 1.5570 mV | 15.5640 mA | 226.5960 mW
